Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 00:57:51.241096,119787.0,122838.0,118438.0,119787.0,68807079662,BTC-USD,crypto,2025-07-15 00:57:51.241096,556.78,0.46697,2382813862901.0,
2025-07-15 00:57:51.246066,2995.29,3074.13,2955.37,2995.29,41032275979,ETH-USD,crypto,2025-07-15 00:57:51.246066,-5.881055023014142,-0.19596,361483392946.0,
2025-07-15 00:57:51.249065,2.93,3.02,2.79,2.93,10827734456,XRP-USD,crypto,2025-07-15 00:57:51.249065,0.062994,2.20071,172965752843.0,
2025-07-15 00:57:51.252068,163.19,168.18,160.06,163.19,14476111090,SOL-USD,crypto,2025-07-15 00:57:51.252068,0.072841,0.04466,87422379566.0,
2025-07-15 00:57:51.254668,0.730367,0.765897,0.72996,0.730367,1581845470,ADA-USD,crypto,2025-07-15 00:57:51.254668,-0.019508402774517042,-2.60155,26399614570.0,
2025-07-15 00:57:52.465313,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 00:57:52.465313,,,,True
2025-07-15 00:57:53.555242,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 00:57:53.555242,,,,True
2025-07-15 00:57:54.832702,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 00:57:54.832702,,,,True
2025-07-15 00:57:55.988639,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 00:57:55.988639,,,,True
2025-07-15 00:57:57.125154,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 00:57:57.125154,,,,True
2025-07-15 00:57:57.735599,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 00:57:57.735599,,,,True
2025-07-15 00:57:58.334953,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 00:57:58.334953,,,,True
2025-07-15 00:57:58.904597,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 00:57:58.904597,,,,True
