Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 01:57:38.156364,119852.0,122838.0,118438.0,119852.0,69328070143,BTC-USD,crypto,2025-07-15 01:57:38.156364,616.79,0.51729,2383583434019.0,
2025-07-15 01:57:38.161389,2994.07,3074.13,2955.37,2994.07,41695779184,ETH-USD,crypto,2025-07-15 01:57:38.161389,3.54,0.11846,361344472593.0,
2025-07-15 01:57:38.163054,2.89,3.02,2.79,2.89,12407448150,XRP-USD,crypto,2025-07-15 01:57:38.163054,0.03513031,1.23004,170883359821.0,
2025-07-15 01:57:38.165869,162.94,168.18,160.06,162.94,14590141799,SOL-USD,crypto,2025-07-15 01:57:38.165869,0.308174,0.18949,87364576375.0,
2025-07-15 01:57:38.168334,0.726506,0.765897,0.72539,0.726506,1624032406,ADA-USD,crypto,2025-07-15 01:57:38.168334,-0.018649705512003623,-2.50279,26248140363.0,
2025-07-15 01:57:41.280005,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 01:57:41.280005,,,,True
2025-07-15 01:57:44.383122,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 01:57:44.383122,,,,True
2025-07-15 01:57:47.466730,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 01:57:47.466730,,,,True
2025-07-15 01:57:50.498567,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 01:57:50.498567,,,,True
2025-07-15 01:57:53.410202,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 01:57:53.410202,,,,True
2025-07-15 01:57:54.929477,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 01:57:54.929477,,,,True
2025-07-15 01:57:56.476440,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 01:57:56.476440,,,,True
2025-07-15 01:57:58.001289,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 01:57:58.001289,,,,True
