Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 02:05:14.141486,119973.0,122838.0,118438.0,119973.0,69559506303,BTC-USD,crypto,2025-07-15 02:05:14.141486,678.87,0.56907,2384877996887.0,
2025-07-15 02:05:14.146160,3000.98,3074.13,2955.37,3000.98,31726402783,ETH-USD,crypto,2025-07-15 02:05:14.146160,7.81,0.26085,361725037067.0,
2025-07-15 02:05:14.148166,2.9,3.02,2.79,2.9,12481183687,XRP-USD,crypto,2025-07-15 02:05:14.148166,0.04075783,1.42557,171137368052.0,
2025-07-15 02:05:14.151159,163.07,168.18,160.06,163.07,14598441104,SOL-USD,crypto,2025-07-15 02:05:14.151159,0.380808,0.23408,87406643287.0,
2025-07-15 02:05:14.153152,0.729173,0.765897,0.72539,0.729173,1630990100,ADA-USD,crypto,2025-07-15 02:05:14.153152,-0.017248749840681366,-2.31086,26302734196.0,
2025-07-15 02:05:15.458348,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 02:05:15.458348,,,,True
2025-07-15 02:05:16.848013,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 02:05:16.848013,,,,True
2025-07-15 02:05:18.272645,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 02:05:18.272645,,,,True
2025-07-15 02:05:19.429478,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 02:05:19.429478,,,,True
2025-07-15 02:05:20.771717,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 02:05:20.771717,,,,True
2025-07-15 02:05:21.549487,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 02:05:21.549487,,,,True
2025-07-15 02:05:22.166596,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 02:05:22.166596,,,,True
2025-07-15 02:05:22.851984,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 02:05:22.851984,,,,True
