Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 01:18:07.680015,119798.0,122838.0,118438.0,119798.0,68907389340,BTC-USD,crypto,2025-07-15 01:18:07.680015,632.5,0.53078,2383378268839.0,
2025-07-15 01:18:07.684274,2997.28,3074.13,2955.37,2997.28,40388738070,ETH-USD,crypto,2025-07-15 01:18:07.684274,-1.473425751544255,-0.04913,361830013668.0,
2025-07-15 01:18:07.687274,2.92,3.02,2.79,2.92,10773075043,XRP-USD,crypto,2025-07-15 01:18:07.687274,0.063912,2.23544,172890040255.0,
2025-07-15 01:18:07.739723,163.74,168.18,160.06,163.74,14408540273,SOL-USD,crypto,2025-07-15 01:18:07.739723,0.658394,0.40373,87766255584.0,
2025-07-15 01:18:07.741723,0.730632,0.765897,0.72996,0.730632,1612220260,ADA-USD,crypto,2025-07-15 01:18:07.741723,-0.018065406722204802,-2.41291,26427197751.0,
2025-07-15 01:18:08.830887,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 01:18:08.830887,,,,True
2025-07-15 01:18:09.840445,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 01:18:09.840445,,,,True
2025-07-15 01:18:10.981311,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 01:18:10.981311,,,,True
2025-07-15 01:18:12.122550,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 01:18:12.122550,,,,True
2025-07-15 01:18:13.262781,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 01:18:13.262781,,,,True
2025-07-15 01:18:13.825638,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 01:18:13.825638,,,,True
2025-07-15 01:18:14.488788,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 01:18:14.488788,,,,True
2025-07-15 01:18:15.073912,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 01:18:15.073912,,,,True
