Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 01:37:52.449698,119768.0,122838.0,118438.0,119768.0,69066425170,BTC-USD,crypto,2025-07-15 01:37:52.449698,773.34,0.64989,2383165330116.0,
2025-07-15 01:37:52.454361,2994.24,3074.13,2955.37,2994.24,41381269975,ETH-USD,crypto,2025-07-15 01:37:52.454361,8.6,0.28817,361726172494.0,
2025-07-15 01:37:52.457360,2.91,3.02,2.79,2.91,10813917412,XRP-USD,crypto,2025-07-15 01:37:52.457360,0.069289,2.43689,172513985417.0,
2025-07-15 01:37:52.459361,163.75,168.18,160.06,163.75,14455228864,SOL-USD,crypto,2025-07-15 01:37:52.459361,1.14,0.7004,87800216003.0,
2025-07-15 01:37:52.462360,0.728256,0.765897,0.729323,0.728256,1608072292,ADA-USD,crypto,2025-07-15 01:37:52.462360,-0.015498607164138978,-2.08383,26372727810.0,
2025-07-15 01:37:53.660558,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 01:37:53.660558,,,,True
2025-07-15 01:37:54.813727,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 01:37:54.813727,,,,True
2025-07-15 01:37:55.956715,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 01:37:55.956715,,,,True
2025-07-15 01:37:57.006326,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 01:37:57.006326,,,,True
2025-07-15 01:37:58.172407,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 01:37:58.172407,,,,True
2025-07-15 01:37:58.804403,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 01:37:58.804403,,,,True
2025-07-15 01:37:59.289343,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 01:37:59.289343,,,,True
2025-07-15 01:37:59.845255,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 01:37:59.845255,,,,True
