Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 01:09:08.019119,119926.0,122838.0,118438.0,119926.0,68891092461,BTC-USD,crypto,2025-07-15 01:09:08.019119,697.71,0.58519,2385895996163.0,
2025-07-15 01:09:08.023166,2996.88,3074.13,2955.37,2996.88,40676091949,ETH-USD,crypto,2025-07-15 01:09:08.023166,-3.902356236641026,-0.13004,361786720557.0,
2025-07-15 01:09:08.026160,2.93,3.02,2.79,2.93,10797124645,XRP-USD,crypto,2025-07-15 01:09:08.026160,0.064569,2.25518,173192667875.0,
2025-07-15 01:09:08.079708,163.34,168.18,160.06,163.34,14471956119,SOL-USD,crypto,2025-07-15 01:09:08.079708,0.22313,0.13679,87578363686.0,
2025-07-15 01:09:08.081714,0.731314,0.765897,0.72996,0.731314,1584449430,ADA-USD,crypto,2025-07-15 01:09:08.081714,-0.0173429250047058,-2.31654,26439339089.0,
2025-07-15 01:09:09.587234,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 01:09:09.587234,,,,True
2025-07-15 01:09:10.761945,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 01:09:10.761945,,,,True
2025-07-15 01:09:12.071536,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 01:09:12.071536,,,,True
2025-07-15 01:09:23.089850,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 01:09:23.089850,,,,True
2025-07-15 01:09:24.287222,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 01:09:24.287222,,,,True
2025-07-15 01:09:24.826902,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 01:09:24.826902,,,,True
2025-07-15 01:09:25.323746,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 01:09:25.323746,,,,True
2025-07-15 01:09:25.856969,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 01:09:25.856969,,,,True
