Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 01:46:13.316114,119745.0,122838.0,118438.0,119745.0,69140203763,BTC-USD,crypto,2025-07-15 01:46:13.316114,622.05,0.52219,2382210952418.0,
2025-07-15 01:46:13.321118,2991.99,3074.13,2955.37,2991.99,40840325068,ETH-USD,crypto,2025-07-15 01:46:13.321118,2.33,0.07799,361330399645.0,
2025-07-15 01:46:13.323116,2.9,3.02,2.79,2.9,12350902145,XRP-USD,crypto,2025-07-15 01:46:13.323116,0.0439136,1.54003,171608820826.0,
2025-07-15 01:46:13.326099,163.03,168.18,160.06,163.03,12719896369,SOL-USD,crypto,2025-07-15 01:46:13.326099,0.443852,0.273,87447366745.0,
2025-07-15 01:46:13.329101,0.726124,0.765897,0.726157,0.726124,1563009541,ADA-USD,crypto,2025-07-15 01:46:13.329101,-0.018565127965302408,-2.493,26283600134.0,
2025-07-15 01:46:14.522547,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 01:46:14.522547,,,,True
2025-07-15 01:46:15.602904,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 01:46:15.602904,,,,True
2025-07-15 01:46:16.681630,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 01:46:16.681630,,,,True
2025-07-15 01:46:17.865743,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 01:46:17.865743,,,,True
2025-07-15 01:46:19.010388,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 01:46:19.010388,,,,True
2025-07-15 01:46:19.647161,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 01:46:19.647161,,,,True
2025-07-15 01:46:20.121459,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 01:46:20.121459,,,,True
2025-07-15 01:46:20.781199,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 01:46:20.781199,,,,True
