Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 02:02:52.491102,119917.0,122838.0,118438.0,119917.0,69462891112,BTC-USD,crypto,2025-07-15 02:02:52.491102,622.61,0.52191,2384877996887.0,
2025-07-15 02:02:52.495822,2997.43,3074.13,2955.37,2997.43,41806869785,ETH-USD,crypto,2025-07-15 02:02:52.495822,4.25,0.14195,361725037067.0,
2025-07-15 02:02:52.498839,2.9,3.02,2.79,2.9,12472798563,XRP-USD,crypto,2025-07-15 02:02:52.498839,0.0371742,1.30023,171137368052.0,
2025-07-15 02:02:52.500839,163.03,168.18,160.06,163.03,14600833313,SOL-USD,crypto,2025-07-15 02:02:52.500839,0.348314,0.2141,87406643287.0,
2025-07-15 02:02:52.503828,0.728346,0.765897,0.72539,0.728346,1626524661,ADA-USD,crypto,2025-07-15 02:02:52.503828,-0.018076052214243687,-2.42169,26302734196.0,
2025-07-15 02:02:55.246504,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 02:02:55.246504,,,,True
2025-07-15 02:02:58.192327,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 02:02:58.192327,,,,True
2025-07-15 02:03:01.208005,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 02:03:01.208005,,,,True
2025-07-15 02:03:04.247606,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 02:03:04.247606,,,,True
2025-07-15 02:03:07.286244,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 02:03:07.286244,,,,True
2025-07-15 02:03:08.797617,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 02:03:08.797617,,,,True
2025-07-15 02:03:10.347181,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 02:03:10.347181,,,,True
2025-07-15 02:03:11.883781,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 02:03:11.883781,,,,True
