Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 01:23:42.452028,119804.0,122838.0,118438.0,119804.0,68950752202,BTC-USD,crypto,2025-07-15 01:23:42.452028,650.24,0.54571,2382465565076.0,
2025-07-15 01:23:42.457021,2996.39,3074.13,2955.37,2996.39,41237511173,ETH-USD,crypto,2025-07-15 01:23:42.457021,-0.7951439707194368,-0.02653,361701730222.0,
2025-07-15 01:23:42.459590,2.92,3.02,2.79,2.92,10805872462,XRP-USD,crypto,2025-07-15 01:23:42.459590,0.062735,2.19621,172624493060.0,
2025-07-15 01:23:42.461903,163.75,168.18,160.06,163.75,14399977229,SOL-USD,crypto,2025-07-15 01:23:42.461903,0.684866,0.42001,87790083039.0,
2025-07-15 01:23:42.464589,0.729571,0.765897,0.72996,0.729571,1610678071,ADA-USD,crypto,2025-07-15 01:23:42.464589,-0.019093511164821386,-2.55034,26373770256.0,
2025-07-15 01:23:43.494673,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 01:23:43.494673,,,,True
2025-07-15 01:23:44.752120,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 01:23:44.752120,,,,True
2025-07-15 01:23:45.974059,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 01:23:45.974059,,,,True
2025-07-15 01:23:47.138445,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 01:23:47.138445,,,,True
2025-07-15 01:23:48.267349,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 01:23:48.267349,,,,True
2025-07-15 01:23:48.758021,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 01:23:48.758021,,,,True
2025-07-15 01:23:49.267959,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 01:23:49.267959,,,,True
2025-07-15 01:23:49.870010,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 01:23:49.870010,,,,True
