Date,Open,High,Low,Close,Volume,Symbol,Type,Datetime,Price_Change_24h,Price_Change_Percentage_24h,Market_Cap,IsMock
2025-07-15 00:47:11.109321,119849.0,122838.0,118438.0,119849.0,68654182030,BTC-USD,crypto,2025-07-15 00:47:11.109321,754.8,0.63379,2385799976677.0,
2025-07-15 00:47:11.115319,2993.38,3074.13,2955.37,2993.38,40783362905,ETH-USD,crypto,2025-07-15 00:47:11.115319,-2.865841207583344,-0.09565,361621606793.0,
2025-07-15 00:47:11.117387,2.92,3.02,2.79,2.92,10830739213,XRP-USD,crypto,2025-07-15 00:47:11.117387,0.063142,2.20679,173532568355.0,
2025-07-15 00:47:11.119319,162.96,168.18,160.06,162.96,14451155166,SOL-USD,crypto,2025-07-15 00:47:11.119319,-0.015507764167608684,-0.00952,87553135237.0,
2025-07-15 00:47:11.122318,0.731457,0.765897,0.72996,0.731457,1669927454,ADA-USD,crypto,2025-07-15 00:47:11.122318,-0.013508556296286334,-1.81331,26545810435.0,
2025-07-15 00:47:13.962271,332.64,342.72,329.28,336.0,1000000,AAPL,stock,2025-07-15 00:47:13.962271,,,,True
2025-07-15 00:47:16.699827,360.36,371.28000000000003,356.71999999999997,364.0,1000000,MSFT,stock,2025-07-15 00:47:16.699827,,,,True
2025-07-15 00:47:19.549515,421.74,434.52,417.48,426.0,1000000,GOOGL,stock,2025-07-15 00:47:19.549515,,,,True
2025-07-15 00:47:22.471804,356.4,367.2,352.8,360.0,1000000,AMZN,stock,2025-07-15 00:47:22.471804,,,,True
2025-07-15 00:47:25.282170,354.42,365.16,350.84,358.0,1000000,TSLA,stock,2025-07-15 00:47:25.282170,,,,True
2025-07-15 00:47:26.732887,1239.48,1264.52,1226.96,1252.0,10000000,SPY,index,2025-07-15 00:47:26.732887,,,,True
2025-07-15 00:47:27.370751,1230.57,1255.43,1218.1399999999999,1243.0,10000000,QQQ,index,2025-07-15 00:47:27.370751,,,,True
2025-07-15 00:47:27.956803,1193.94,1218.06,1181.8799999999999,1206.0,10000000,DIA,index,2025-07-15 00:47:27.956803,,,,True
